nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000379	Kirsten Dunst	1982	null	actress,producer,soundtrack	tt0110148,tt0145487,tt0110367,tt1527186
nm0000380	Robert Duvall	1931	null	actor,producer,soundtrack	tt0316356,tt0118632,tt0086423,tt0078788
nm0000381	Anthony Edwards	1962	null	actor,producer,director	tt0108757,tt0092099,tt0088000,tt0443706
nm0000382	Atom Egoyan	1960	null	director,writer,producer	tt1352824,tt2326612,tt0120255,tt0273435
nm0000383	Jennifer Ehle	1969	null	actress	tt0112130,tt1790885,tt4919484,tt2392830
nm0000384	Danny Elfman	1953	null	music_department,soundtrack,composer	tt0121164,tt0367594,tt0107688,tt0119654
nm0000385	Sam Elliott	1944	null	actor,producer,soundtrack	tt0098206,tt0118715,tt5655222,tt1517451
nm0000386	Roland Emmerich	1955	null	writer,producer,director	tt0120685,tt1628841,tt0116629,tt0319262
nm0000387	Robert Englund	1947	null	actor,miscellaneous,soundtrack	tt0093629,tt0329101,tt0095742,tt0087800
nm0000388	R. Lee Ermey	1944	2018	actor,miscellaneous,producer	tt0095647,tt0324216,tt0114369,tt0093058
nm0000389	Emilio Estevez	1962	null	actor,director,producer	tt0100994,tt1441912,tt0308055,tt3294746
nm0000390	Joe Eszterhas	1944	null	writer,producer,miscellaneous	tt0108162,tt0103772,tt0118577,tt0114436
nm0000391	Rupert Everett	1959	null	actor,soundtrack,producer	tt0122541,tt2404639,tt0109592,tt0119738
nm0000392	Morgan Fairchild	1950	null	actress,soundtrack,producer	tt1754944,tt0081858,tt0108778,tt0084652
nm0000393	Peter Falk	1927	2011	actor,producer,soundtrack	tt0074937,tt0281322,tt1466074,tt0093779
nm0000394	Chris Farley	1964	1997	actor,soundtrack,stunts	tt0114694,tt0106598,tt0118708,tt0115697
nm0000395	Terry Farrell	1963	null	actress	tt0106145,tt0104409,tt0174378,tt0090685
nm0000396	Farrah Fawcett	1947	2009	actress,producer,soundtrack	tt0074812,tt0082136,tt0073972,tt0079285
nm0000397	Corey Feldman	1971	null	actor,producer,soundtrack	tt0093437,tt0092005,tt0089218,tt0087298
nm0000398	Sally Field	1946	null	actress,producer,soundtrack	tt0109830,tt0098384,tt0443272,tt0076729
nm0000399	David Fincher	1962	null	producer,director,actor	tt1285016,tt2267998,tt0114369,tt0443706
nm0000400	Linda Fiorentino	1958	null	actress,soundtrack	tt0088680,tt0120655,tt0119654,tt0110308
nm0000401	Laurence Fishburne	1961	null	actor,producer,director	tt0133093,tt1598778,tt0327056,tt0234215
nm0000402	Carrie Fisher	1956	2016	actress,miscellaneous,soundtrack	tt0076759,tt0080684,tt0086190,tt2527336
nm0000403	Bridget Fonda	1964	null	actress,soundtrack	tt0120324,tt0107843,tt0139414,tt0105414
nm0000404	Jane Fonda	1937	null	actress,producer,soundtrack	tt0062711,tt3312830,tt0369735,tt0067309
nm0000405	Michelle Forbes	1965	null	actress	tt0116225,tt0107302,tt0844441,tt1951266
nm0000406	John Ford	1894	1973	director,producer,actor	tt0032551,tt0045061,tt0056217,tt0031971
nm0000407	Vivica A. Fox	1964	null	actress,producer,soundtrack	tt0116629,tt0118688,tt0373474,tt0266697
nm0000408	Jonathan Frakes	1952	null	actor,director,producer	tt0117731,tt0120844,tt0253754,tt0111280
